INFO 2025-07-12 20:52:27,569 autoreload 8768 2016 Watching for file changes with StatReloader
INFO 2025-07-12 20:54:03,238 autoreload 8768 2016 D:\Hackathon\project\backend\migrations\0001_initial.py changed, reloading.
INFO 2025-07-12 20:54:05,386 autoreload 9168 5232 Watching for file changes with StatReloader
INFO 2025-07-12 20:55:08,768 autoreload 2892 9864 Watching for file changes with StatReloader
WARNING 2025-07-12 20:55:51,563 log 9168 9272 Not Found: /
WARNING 2025-07-12 20:55:51,564 basehttp 9168 9272 "GET / HTTP/1.1" 404 2311
WARNING 2025-07-12 20:55:52,157 log 9168 9272 Not Found: /favicon.ico
WARNING 2025-07-12 20:55:52,185 basehttp 9168 9272 "GET /favicon.ico HTTP/1.1" 404 2362
INFO 2025-07-12 20:55:57,714 basehttp 9168 4348 "GET /admin HTTP/1.1" 301 0
INFO 2025-07-12 20:55:57,753 basehttp 9168 12468 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-07-12 20:55:58,088 basehttp 9168 12468 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4182
INFO 2025-07-12 20:55:58,568 basehttp 9168 6280 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-07-12 20:55:58,576 basehttp 9168 7844 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-07-12 20:55:58,590 basehttp 9168 8616 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-07-12 20:55:58,598 basehttp 9168 12468 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-07-12 20:55:58,626 basehttp 9168 9740 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-07-12 20:55:58,638 basehttp 9168 2920 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-07-12 20:55:58,684 basehttp 9168 9740 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-07-12 20:56:12,516 basehttp 9168 12944 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-07-12 20:56:12,776 basehttp 9168 12944 "GET /admin/ HTTP/1.1" 200 7846
INFO 2025-07-12 20:56:12,858 basehttp 9168 12944 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-07-12 20:56:12,943 basehttp 9168 12944 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-07-12 20:56:12,948 basehttp 9168 12948 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
